verdict	reason	why	seed_id	seed_title	seed_date	seed_cat	seed_blurb	dump_id	dump_title	dump_date	dump_cat	dump_notability
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:burundi-1962-07-01	Burundi	1962-07-01	founding	The Kingdom of Burundi gains independence from the Kingdom of Belgium. Bujumbura is the capital.	Q967	Burundi	1962-07-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:cabinda-1883-01-01	Cabinda	1883-01-01	event	Cabinda becomes a protectorate of the Kingdom of Portugal.	Q459360	Cabinda	1883-01-01	founding	0.68
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:cambodia-1953-11-09	Cambodia	1953-11-09	founding	The Kingdom of Cambodia declares its independence from France. Phnom Penh is the capital.	Q424	Cambodia	1953-11-09	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:cape-verde-1975-07-05	Cape Verde	1975-07-05	founding	The Overseas Province of Cape Verde gains independence from Portugal as the Republic of Cape Verde. Praia remains the ca	Q1011	Cape Verde	1975-07-05	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:central-african-empire-1976-12-04	Central African Empire	1976-12-04	event	The Central African Republic changes its name to the Central African Empire.	Q189988	Central African Empire	1976-12-04	founding	0.39
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:chad-1960-08-11	Chad	1960-08-11	founding	The Republic of Chad gains independence from the French Republic. Fort Lamy remains the capital.	Q657	Chad	1960-08-11	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:chile-1810-09-18	Chile	1810-09-18	founding	Chile installs an autonomous government recognizing the Monarchy of Spain because of the absence of King Ferdinand VII. 	Q298	Chile	1810-09-18	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:commonwealth-of-england-1649-05-19	Commonwealth of England	1649-05-19	founding	The republican Commonwealth of England supersedes the Kingdom of England after the English Civil War.	Q330362	Commonwealth of England	1649-05-19	founding	0.54
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:comoros-2001-12-23	Comoros	2001-12-23	event	The Federal Islamic Republic of the Comoros changes its name to the Union of the Comoros.	Q970	Comoros	2001-12-23	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:croatia-1991-06-25	Croatia	1991-06-25	founding	The Republic of Croatia secedes from Yugoslavia. Zagreb remains the capital.	Q224	Croatia	1991-06-25	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:cyprus-1960-08-16	Cyprus	1960-08-16	founding	The Republic of Cyprus gains independence from the United Kingdom. Lefkosia (Nicosia) remains the capital, and the Unite	Q229	Cyprus	1960-08-16	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:democratic-kampuchea-1976-01-05	Democratic Kampuchea	1976-01-05	event	Kampuchea changes its name to Democratic Kampuchea.	Q330988	Democratic Kampuchea	1976-01-05	founding	0.45
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:democratic-republic-of-yemen-1994-05-21	Democratic Republic of Yemen	1994-05-21	founding	The Democratic Republic of Yemen secedes from Yemen. Aden is the capital.	Q2119459	Democratic Republic of Yemen	1994-05-21	founding	0.2
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:duchy-of-oldenburg-1774-01-01	Duchy of Oldenburg	1774-01-01	event	The County of Oldenburg is made the Duchy of Oldenburg.	Q697084	Duchy of Oldenburg	1774-01-01	founding	0.24
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:dutch-east-indies-1800-01-01	Dutch East Indies	1800-01-01	founding	On 1 January, the bankrupt VOC is formally dissolved and the nationalized Dutch East Indies are established.	Q188161	Dutch East Indies	1800-01-01	founding	0.83
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:egypt-1922-02-28	Egypt	1922-02-28	founding	The Kingdom of Egypt gains independence from the United Kingdom. Cairo is the capital.	Q79	Egypt	1922-02-28	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:emirate-of-afghanistan-1823-01-01	Emirate of Afghanistan	1823-01-01	founding	The Emirate of Afghanistan follows the Durrani Empire. Kabul is the capital.	Q1335260	Emirate of Afghanistan	1823-01-01	founding	0.43
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:empire-of-china-1915-12-12	Empire of China	1915-12-12	founding	Hongxian proclaims the Empire of China. Beijing is the capital.	Q175379	Empire of China	1915-12-12	founding	0.29
drop-seed	our Jan 1 is a year-precision stand-in for Jan 3 (2 days apart)	title	seed:empire-of-japan-1868-01-01	Empire of Japan	1868-01-01	founding	Boshin War results in the end of the shogunate and the founding of the Japanese Empire, from 1868 to 1869.	Q188712	Empire of Japan	1868-01-03	founding	0.97
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:equatorial-guinea-1968-10-12	Equatorial Guinea	1968-10-12	founding	Spanish Guinea gains independence from Spain as the Republic of Equatorial Guinea. Malabo remains the capital.	Q983	Equatorial Guinea	1968-10-12	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:eritrea-1993-05-24	Eritrea	1993-05-24	founding	The independence of Eritrea is internationally recognized following a referendum. Asmara remains the capital.	Q986	Eritrea	1993-05-24	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:estonia-1918-02-24	Estonia	1918-02-24	founding	The Republic of Estonia declares independence from the Russian Soviet Federative Socialist Republic. Tallinn is the capi	Q191	Estonia	1918-02-24	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:ethiopia-1995-08-21	Ethiopia	1995-08-21	event	Ethiopia changes its name to the Federal Democratic Republic of Ethiopia with the promulgation of a new constitution.	Q115	Ethiopia	1995-08-21	founding	1
drop-seed	our Jan 1 is a stand-in for the Jan 3 assertion of control (2 days apart)	title	seed:falkland-islands-1833-01-01	Falkland Islands	1833-01-01	founding	The Falkland Islands become a colony of the United Kingdom. Port Louis is the capital.	Q9648	Falkland Islands	1833-01-03	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:falkland-islands-1833-01-03	Falkland Islands	1833-01-03	conflict	The United Kingdom removes a garrison installed by the United Provinces of the Rio de la Plata in October 1832, thereby 	Q9648	Falkland Islands	1833-01-03	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:far-eastern-republic-1920-04-06	Far Eastern Republic	1920-04-06	founding	The Far Eastern Republic is established. Chita becomes the capital.	Q61292	Far Eastern Republic	1920-04-06	founding	0.5
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:faroe-islands-1948-04-01	Faroe Islands	1948-04-01	event	The Faroe Islands becomes a self-governing dependency.	Q4628	Faroe Islands	1948-04-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:federal-republic-of-yugoslavia-1992-04-27	Federal Republic of Yugoslavia	1992-04-27	founding	The Federal Republic of Yugoslavia supersedes the Socialist Federal Republic of Yugoslavia. Belgrade remains the capital	Q838261	Federal Republic of Yugoslavia	1992-04-27	founding	0.46
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:federated-malay-states-1895-01-01	Federated Malay States	1895-01-01	founding	The United Kingdom establishes the Federated Malay States as a protectorate from a number of British-dominated Sultanate	Q1400154	Federated Malay States	1895-01-01	founding	0.27
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:finland-1917-12-06	Finland	1917-12-06	founding	The Republic of Finland gains independence from the Russian Soviet Federative Socialist Republic. Helsinki is the capita	Q33	Finland	1917-12-06	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:first-brazilian-republic-1889-11-15	First Brazilian Republic	1889-11-15	founding	1889: A republican military coup establishes the First Brazilian Republic. The parliamentary constitutional monarchy is 	Q2414171	First Brazilian Republic	1889-11-15	founding	0.22
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:first-french-empire-1804-05-18	First French Empire	1804-05-18	founding	The First French Empire is proclaimed, superseding the First French Republic. Paris is the capital.	Q71084	First French Empire	1804-05-18	founding	0.86
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:first-saudi-state-1744-01-01	First Saudi State	1744-01-01	founding	The First Saudi State is founded by Mohammed Ibn Saud.	Q146871	First Saudi State	1744-01-01	founding	0.35
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:first-spanish-republic-1873-02-11	First Spanish Republic	1873-02-11	founding	The First Spanish Republic supersedes the Monarchy of Spain.	Q497777	First Spanish Republic	1873-02-11	founding	0.46
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:france-1958-10-04	France	1958-10-04	event	The French Fifth Republic succeeds the French Fourth Republic.	Q142	France	1958-10-04	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:free-city-of-danzig-1807-09-09	Free City of Danzig	1807-09-09	founding	The Free City of Danzig is established as a semi-independent state under French protection.	Q901974	Free City of Danzig	1807-09-09	founding	0.3
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:free-territory-of-trieste-1947-09-15	Free Territory of Trieste	1947-09-15	founding	The Free Territory of Trieste is created in Central Europe.	Q391980	Free Territory of Trieste	1947-09-15	founding	0.49
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:german-empire-1871-01-01	German Empire	1871-01-01	founding	In the unification of Germany, the German Empire supersedes the North German Confederation after the accession of Bavari	Q43287	German Empire	1871-01-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:goa-daman-and-diu-1961-12-19	Goa, Daman and Diu	1961-12-19	conflict	The Republic of India annexes Goa, Daman and Diu from Portuguese India.	Q2918348	Goa, Daman and Diu	1961-12-19	founding	0.19
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:gondar-1635-01-01	Gondar	1635-01-01	event	Fasilides makes Gondar the first permanent capital of Ethiopia since the fall of the Zagwe Dynasty.	Q218861	Gondar	1635-01-01	founding	0.68
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:great-exhibition-1851-05-01	Great Exhibition	1851-05-01	event	1851: The Great Exhibition in London was the world's first international Expo or World Fair.	Q273095	Great Exhibition	1851-05-01	event	0.49
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:greece-1821-03-25	Greece	1821-03-25	founding	Greece declares its independence from the Ottoman Empire. Nafplion is the capital.	Q41	Greece	1821-03-25	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:guinea-1958-10-02	Guinea	1958-10-02	founding	The Republic of Guinea gains independence from France. Conakry is the capital.	Q1006	Guinea	1958-10-02	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:haiti-1804-01-01	Haiti	1804-01-01	founding	Haiti gained independence from France.	Q790	Haiti	1804-01-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:hong-kong-1997-07-01	Hong Kong	1997-07-01	event	Hong Kong, under British administration from 1842 to 1997, is one of the original Four Asian Tigers.	Q8646	Hong Kong	1997-07-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:hungarian-state-1849-04-14	Hungarian State	1849-04-14	founding	The Hungarian State declares its independence from the Habsburg monarchy. Debrecen is the temporary capital.	Q18331029	Hungarian State	1849-04-14	founding	0.08
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:iceland-1918-12-01	Iceland	1918-12-01	founding	Iceland, a dependent territory of Denmark with home rule, becomes the fully sovereign Kingdom of Iceland in personal uni	Q189	Iceland	1918-12-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:indonesia-1945-08-17	Indonesia	1945-08-17	founding	The de facto Republic of Indonesia declares independence under Japanese and Allied occupation.	Q252	Indonesia	1945-08-17	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:ireland-1937-12-29	Ireland	1937-12-29	event	The Irish Free State changes its name to Ireland.	Q27	Ireland	1937-12-29	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:islamic-emirate-of-afghanistan-1996-09-27	Islamic Emirate of Afghanistan	1996-09-27	founding	The Islamic Emirate of Afghanistan is established following the Taliban's conquest of Kabul, which becomes the state cap	Q427941	Islamic Emirate of Afghanistan	1996-09-27	founding	0.58
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:israel-1948-05-14	Israel	1948-05-14	founding	The creation of Israel, a Jewish state in the Middle East, at the end of the British Mandate for Palestine. It fuelled l	Q801	Israel	1948-05-14	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:khmer-republic-1970-10-09	Khmer Republic	1970-10-09	event	The State of Cambodia changes its name to the Khmer Republic.	Q1054184	Khmer Republic	1970-10-09	founding	0.37
drop-seed	Treaty of Pressburg vs the Jan 1 proclamation - dump date is the constitutive one (6 days apart)	title	seed:kingdom-of-bavaria-1805-12-26	Kingdom of Bavaria	1805-12-26	founding	The Electorate of Bavaria becomes the Kingdom of Bavaria. Munich is the capital.	Q154195	Kingdom of Bavaria	1806-01-01	founding	0.62
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:kingdom-of-ireland-1542-01-01	Kingdom of Ireland	1542-01-01	founding	The Kingdom of Ireland supersedes the feudal Lordship of Ireland.	Q215530	Kingdom of Ireland	1542-01-01	founding	0.69
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:kingdom-of-italy-1861-03-17	Kingdom of Italy	1861-03-17	founding	The Kingdom of Italy is proclaimed in place of the Kingdom of Sardinia.	Q172579	Kingdom of Italy	1861-03-17	founding	0.95
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:kingdom-of-kartli-kakheti-1762-01-01	Kingdom of Kartli-Kakheti	1762-01-01	founding	The Kingdom of Kartli and the Kingdom of Kakheti unite to form the Kingdom of Kartli-Kakheti. Tbilisi is the capital.	Q282475	Kingdom of Kartli-Kakheti	1762-01-01	founding	0.32
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:kingdom-of-loango-1550-01-01	Kingdom of Loango	1550-01-01	founding	The Kingdom of Loango is established.	Q1479630	Kingdom of Loango	1550-01-01	founding	0.26
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:kingdom-of-lunda-1665-01-01	Kingdom of Lunda	1665-01-01	founding	The Kingdom of Lunda is established in central Africa.	Q1796223	Kingdom of Lunda	1665-01-01	founding	0.31
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:kingdom-of-romania-1881-03-14	Kingdom of Romania	1881-03-14	founding	The Kingdom of Romania is proclaimed. Bucharest is the capital.	Q203493	Kingdom of Romania	1881-03-14	founding	0.64
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:kingdom-of-saxony-1806-12-20	Kingdom of Saxony	1806-12-20	event	The Kingdom of Saxony follows the Electorate of Saxony. Dresden is the capital.	Q153015	Kingdom of Saxony	1806-12-20	founding	0.56
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:kiribati-1979-07-12	Kiribati	1979-07-12	founding	The Colony of Gilbert Islands gains independence from the United Kingdom as the Republic of Kiribati; it includes most o	Q710	Kiribati	1979-07-12	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:kong-empire-1710-01-01	Kong Empire	1710-01-01	founding	The Kong Empire is established in West Africa.	Q1587244	Kong Empire	1710-01-01	founding	0.18
drop-seed	liberation recorded twice (2 days apart)	title	seed:kuwait-1991-02-28	Kuwait	1991-02-28	conflict	Kuwait regains its independence, with the complete withdrawal of Iraqi forces.	Q817	Kuwait	1991-02-26	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:latvia-1918-11-18	Latvia	1918-11-18	founding	The Republic of Latvia gains independence from the Russian Soviet Federative Socialist Republic. Riga is the capital.	Q211	Latvia	1918-11-18	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:lebanon-1943-11-22	Lebanon	1943-11-22	founding	The State of Greater Lebanon and the Syrian Republic, which together comprise the Mandate of Syria, are given independen	Q822	Lebanon	1943-11-22	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:lithuania-1990-03-11	Lithuania	1990-03-11	founding	Following democratic elections, the Lithuanian Soviet Socialist Republic declares independence from the Soviet Union as 	Q37	Lithuania	1990-03-11	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:macau-1999-12-20	Macau	1999-12-20	treaty	Sovereignty over Macau is transferred to China from Portugal. Macau becomes a special administrative region.	Q14773	Macau	1999-12-20	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:machu-picchu-1450-01-01	Machu Picchu	1450-01-01	founding	Machu Picchu constructed.	Q676203	Machu Picchu	1450-01-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:malawi-1964-07-06	Malawi	1964-07-06	founding	Malawi gains independence from the United Kingdom. Zomba remains the capital.	Q1020	Malawi	1964-07-06	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:malaysia-1963-09-16	Malaysia	1963-09-16	founding	The Federation of Malaya unites with the British colonies of Singapore, Sarawak, and British North Borneo (Sabah) to for	Q833	Malaysia	1963-09-16	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:maldives-1965-07-26	Maldives	1965-07-26	founding	The British Protectorate over the Sultanate of Maldives ends. The Maldives becomes independent outside the Commonwealth 	Q826	Maldives	1965-07-26	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:mali-1960-09-22	Mali	1960-09-22	founding	The Republic of Mali gains independence from the French Republic. Bamako remains the capital.	Q912	Mali	1960-09-22	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:malta-1964-09-21	Malta	1964-09-21	founding	The Crown Colony of Malta gains independence from the United Kingdom as the State of Malta. Valletta remains the capital	Q233	Malta	1964-09-21	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:mauritius-1968-03-12	Mauritius	1968-03-12	founding	Mauritius gains independence from the United Kingdom. Port Louis remains the capital.	Q1027	Mauritius	1968-03-12	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:mengjiang-1939-09-01	Mengjiang	1939-09-01	event	Japanese-occupied Mengjiang is renamed the Mengjiang United Autonomous Government.	Q697837	Mengjiang	1939-09-01	founding	0.35
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:moldova-1991-08-27	Moldova	1991-08-27	founding	The Republic of Moldova secedes from the Soviet Union. Chisinau remains the capital.	Q217	Moldova	1991-08-27	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:montenegro-2006-06-03	Montenegro	2006-06-03	founding	The Republic of Montenegro secedes from the State Union of Serbia and Montenegro. Podgorica remains the capital.	Q236	Montenegro	2006-06-03	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:mozambique-1975-06-25	Mozambique	1975-06-25	founding	In accordance with the Lusaka Accord, the State of Mozambique gains independence from Portugal as the People's Republic 	Q1029	Mozambique	1975-06-25	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:nauru-1968-01-31	Nauru	1968-01-31	founding	Nauru gains independence from a United Nations trusteeship jointly administered by Australia, New Zealand, and the Unite	Q697	Nauru	1968-01-31	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:netherlands-antilles-1954-12-15	Netherlands Antilles	1954-12-15	event	The Kingdom of the Netherlands makes the Territory of Curacao one of its three constituent countries as the Netherlands 	Q25227	Netherlands Antilles	1954-12-15	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:new-delhi-1911-01-01	New Delhi	1911-01-01	event	The capital of British India is moved from Calcutta to New Delhi.	Q987	New Delhi	1911-01-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:new-mexico-1912-01-06	New Mexico	1912-01-06	founding	New Mexico is admitted to the Union as the 47th State of the United States.	Q1522	New Mexico	1912-01-06	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:new-orleans-1718-01-01	New Orleans	1718-01-01	founding	The city of New Orleans is founded by the French in North America.	Q34404	New Orleans	1718-01-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:nigeria-1963-10-01	Nigeria	1963-10-01	event	The Federation of Nigeria is renamed the Federal Republic of Nigeria and severs all ties to the British monarchy as a Co	Q1033	Nigeria	1963-10-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:norway-1905-10-26	Norway	1905-10-26	treaty	The Kingdom of Sweden recognizes the union dissolution and the independence of the Kingdom of Norway.	Q20	Norway	1905-10-26	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:oklahoma-1907-11-16	Oklahoma	1907-11-16	founding	Oklahoma is admitted to the Union as the 46th State of the United States.	Q1649	Oklahoma	1907-11-16	founding	1
drop-seed	already dropped via its exact match to the Orange River Convention, the treaty that created it (6 days apart)	title	seed:orange-free-state-1854-02-23	Orange Free State	1854-02-23	founding	The Orange Free State is established in southern Africa. Bloemfontein is the capital.	Q218023	Orange Free State	1854-02-17	founding	0.6
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:oriental-state-of-uruguay-1830-06-28	Oriental State of Uruguay	1830-06-28	event	The Oriental State of Uruguay is created from the Government and Provisional General Captaincy of the Oriental State of 	Q8842946	Oriental State of Uruguay	1830-06-28	founding	0.05
